waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3801.894,9196.021,18.18538,17.81383,20.1947,20.4968,0,0,0,2.540967
3818.563,9219.344,107.3788,106.8756,22.191,24.9202,0,0,0,0.3061029
3808.027,9212.978,34.08786,34.01609,35.7415,33.4691,0,0,0,2.299224
3802.77,9196.021,15.79324,15.66779,20.1947,20.4968,0,0,0,0.4263159
3826.485,9181.212,31.86242,31.83103,68.8419,71.4927,0,0,0,1.120056
3818.563,9215.099,6.535049,6.527781,22.191,24.9202,0,0,0,1.435475
3815.927,9206.615,12.90314,12.68989,35.7415,33.4691,0,0,0,1.818613
3813.292,9206.615,4.314283,4.287954,35.7415,33.4691,0,0,0,0.5709128
3818.563,9206.615,23.18821,22.9013,35.7415,33.4691,0,0,0,1.114802
3601.637,10277.8,1.855619,1.812337,37.623,43.83,0,0,0,2.076046
3808.027,9215.099,10.88743,10.79157,15.9514,17.1376,0,0,0,1.496674
3803.645,9215.099,31.52579,30.81474,12.815,14.2722,0,0,0,1.919475
3818.563,9193.904,22.35066,21.96735,23.5645,25.6476,0,0,0,0.5411601
3601.637,10277.8,2.855536,2.800735,37.623,43.83,0,0,0,2.544503
3808.027,9215.099,5.731184,5.644415,15.9514,17.1376,0,0,0,1.829909
3811.536,9204.496,54.3368,54.71757,16.9344,16.1117,0,0,0,1.822922
3815.048,9202.377,80.01146,80.38124,16.9344,16.1117,0,0,0,2.178894
3820.322,9204.496,56.5775,56.37024,16.9344,16.1117,0,0,0,0.2022451
3805.397,9206.615,15.2074,14.98261,15.3585,17.0893,0,0,0,3.229939
3601.637,10353.81,2.929178,2.733896,37.623,43.83,0,0,0,0.6838962
3810.658,9215.099,6.544648,6.339544,15.9514,17.1376,0,0,0,2.003223
3806.274,9206.615,20.78293,20.91922,25.5759,25.3305,0,0,0,0.2665956
3815.927,9196.021,36.49919,36.30872,23.5645,25.6476,0,0,0,1.021896
3601.637,10353.81,13.37167,13.07565,37.623,43.83,0,0,0,2.458316
3815.048,9206.615,29.10131,29.4636,16.4707,15.4772,0,0,0,2.418205
3813.292,9206.615,22.6569,22.93321,16.4707,15.4772,0,0,0,2.703078
3802.77,9210.856,81.71848,81.14965,15.3585,17.0893,0,0,0,0.6421547
3601.637,10277.8,23.47797,23.12242,37.623,43.83,0,0,0,4.026786
3601.637,10277.8,149.6389,150.8922,37.623,43.83,0,0,0,1.698555
3601.637,10277.8,1.875329,2.005644,37.623,43.83,0,0,0,2.538455
3807.15,9206.615,123.5639,123.3719,25.5759,25.3305,0,0,0,1.063375
3601.637,10353.81,3.900475,3.749129,37.623,43.83,0,0,0,3.329885
3601.637,10353.81,2.734032,2.763744,49.2415,53.3337,0,0,0,3.979817
3601.637,10346.66,8.37919,7.907974,50.5458,62.1615,0,0,0,2.916576
3601.637,10349.04,4.330217,4.121003,46.0465,42.8957,0,0,0,2.128446
3601.637,10358.57,46.64148,46.1517,49.2415,53.3337,0,0,0,2.87573
3601.637,10349.04,3.614227,3.542497,50.5458,62.1615,0,0,0,2.264189
3601.637,10356.19,12.48469,12.03338,54.5812,77.7551,0,0,0,0.9256116
3601.637,10334.75,7.053541,6.862046,43.6117,35.8951,0,0,0,2.391706
3601.637,10339.51,7.383544,7.327962,29.4036,31.1984,0,0,0,2.960131
3601.637,10339.51,8.790859,8.649959,29.4036,31.1984,0,0,0,2.059555
3601.637,10292,6.270028,5.80932,35.8641,35.0704,0,0,0,2.198571
3601.637,10299.12,17.39757,17.24226,43.715,47.0035,0,0,0,2.396288
3601.637,10377.67,3.470667,3.410403,43.715,47.0035,0,0,0,2.506311
3601.637,10377.67,3.939526,4.202549,43.715,47.0035,0,0,0,0.7132946
3601.637,10334.75,3.528822,3.53435,43.6117,35.8951,0,0,0,2.287949
3601.637,10339.51,7.600989,7.593805,29.4036,31.1984,0,0,0,2.308155
3818.563,9219.344,8.554519,8.500711,60.0127,67.0753,0,0,0,0.7392743
3601.637,10358.57,8.849324,8.820819,29.4036,31.1984,0,0,0,2.182657
3601.637,10349.04,2.099746,2.194895,46.0465,42.8957,0,0,0,1.108138
3601.637,10353.81,2.15356,2.194871,46.0465,42.8957,0,0,0,2.643578
3601.637,10339.51,24.0098,24.16308,42.7352,45.1601,0,0,0,0.7161805
3601.637,10337.13,3.666353,3.313452,42.7352,45.1601,0,0,0,3.073339
3601.637,10325.24,14.88699,14.57353,26.82,33.6658,0,0,0,2.23186
3601.637,10292,9.099041,8.691238,31.5331,41.345,0,0,0,2.418237
3601.637,10301.49,7.866107,7.710383,44.786,38.6285,0,0,0,2.497106
3601.637,10384.84,3.427455,3.8447,33.1926,34.3849,0,0,0,2.326243
3601.637,10368.12,5.201873,5.136311,49.0326,49.5203,0,0,0,2.164524
3601.637,10296.75,4.060277,3.958226,27.34,36.7115,0,0,0,2.242854
3813.292,9202.377,17.51902,17.95385,24.9265,29.6131,0,0,0,1.615897
