waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3797.519,9202.377,514.2546,513.1483,91.5073,108.852,0.704,5320,4.49,4.648312E-05
3797.519,9191.788,63.36718,63.18641,70.5337,79.3554,0.786,5221,4.5,4.753764E-05
3794.023,9198.14,25.91266,25.86189,38.0726,50.7698,0.717,5426,4.5,1.368145E-05
3795.771,9200.258,59.7492,59.10756,91.5073,108.852,1.41,3858,4.165,0.0002198133
3794.897,9198.14,270.6943,270.3243,91.5073,108.852,0.773,5261,4.55,2.741226E-05
3794.897,9200.258,101.1987,101.0267,91.5073,108.852,1.354,3962,4.5,1.235787E-05
3798.394,8288.959,182.6943,182.2945,70.5337,79.3554,0.621,5405,4.49,0.0004775107
3798.394,9189.672,124.9161,124.5493,70.5337,79.3554,1.176,4246,4.24,6.064359E-05
3798.394,9189.672,207.8766,206.8219,70.5337,79.3554,1.371,3890,4.5,8.171098E-05
3822.962,9212.978,72.77675,72.05834,70.5337,79.3554,1.502,3717,4.89,4.466563E-05
3820.322,9212.978,1045.891,1050.875,70.5337,79.3554,0.95,4775,4.409,1.991942E-05
3830.893,9210.856,406.0134,404.4517,70.5337,79.3554,0.717,5426,4.5,0.0001475381
3823.843,9212.978,1383.196,1374.067,70.5337,79.3554,0.661,5152,2.4,0.0002054668
3819.443,9212.978,573.2523,575.3929,70.5337,79.3554,0.95,4775,4.409,0.0001513452
3822.082,9212.978,293.9196,294.7363,70.5337,79.3554,0.983,4576,4.414,1.663426E-05
3823.843,9198.14,13.37407,13.43203,59.8765,67.9464,0.863,4801,4.6,0.0001933592
3812.414,9187.556,26.36025,26.17922,58.1678,64.1105,0,6000,4,0.0005117489
3812.414,9187.556,6.569357,6.49488,58.1678,64.1105,0,9000,4,0.0001333341
3815.048,9185.44,31.34202,31.30649,59.0226,67.7074,0.811,5059,4.45,4.258637E-05
3815.048,9185.44,16.25855,15.93111,59.0226,67.7074,0.764,5132,4.34,1.033899E-05
3812.414,9183.326,8.929111,8.867148,59.0226,67.7074,0.825,5190,4.809,0.000176592
3811.536,9215.099,25.34847,25.07367,58.1678,64.1105,0.764,5132,4.34,0.0002210613
3810.658,9215.099,40.16881,40.09667,58.1678,64.1105,0,7000,4,0.0002610746
3810.658,9215.099,15.70545,15.51268,58.1678,64.1105,0.786,5221,4.5,0.0001680569
3810.658,9215.099,39.832,39.58929,58.1678,64.1105,0,6500,4,0.0003166151
3809.781,9215.099,55.31691,55.60936,58.1678,64.1105,0.786,5221,4.5,0.0001145671
3808.904,9215.099,31.17381,31.15793,58.1678,64.1105,0.863,4801,4.6,0.0007373359
3815.927,9215.099,109.3581,109.1139,25.6119,23.6013,0.819,5139,4.79,0.0001784339
3601.637,10358.57,10.25919,10.0795,70.5587,71.6294,1.474,3705,4.8,0.0006959873
3815.048,9219.344,754.7325,753.4581,159.802,122.959,0.953,4576,1.4,0.0006878479
3601.637,10353.81,5.021213,4.998594,52.7654,60.2028,-0.199,9899,2.924,0.0005496225
3601.637,10353.81,5.452597,5.362115,52.7654,60.2028,0.18,6537,2.497,0.0004874897
3814.17,9215.099,990.896,985.8479,159.802,122.959,0,6000,4,0.0001732497
3814.17,9215.099,729.9167,729.557,159.802,122.959,0.709,5073,2.51,0.0001432016
3601.637,10351.42,2.875697,2.839171,52.7654,60.2028,0.18,6537,2.497,0.0002609879
3817.684,9198.14,6.831427,6.658661,34.22,32.3102,0,9000,4,5.788277E-05
3813.292,9234.216,277.7522,279.5155,20.2727,19.349,0,7500,2,0.0003381599
3797.519,9198.14,6.644277,6.689782,20.1808,18.1835,0,9000,4,0.001094874
3811.536,9210.856,25.19849,25.31387,82.5282,81.4314,0,6000,2,0.0006440179
3811.536,9210.856,174.1553,173.5131,82.5282,81.4314,0.983,4576,4.414,4.546489E-05
3811.536,9210.856,24.21264,24.22429,82.5282,81.4314,0,6000,4,0.0006317667
3831.775,9206.615,468.3076,468.6941,73.2546,76.402,0,6000,4,0.0001663761
3829.129,9206.615,11.51411,12.0502,73.2546,76.402,0.207,7518,4.242,0.0004330071
3830.011,9208.735,65.02979,65.37811,73.2546,76.402,0.704,5320,4.49,0.0002082331
3818.563,9208.735,13.9175,13.77809,73.2546,76.402,1.069,4382,4.64,0.0002090023
3819.443,9208.735,34.50488,34.38828,73.2546,76.402,0,6000,4,9.907343E-05
3819.443,9208.735,47.84601,47.70677,73.2546,76.402,0,6500,4,6.708106E-05
3826.485,9206.615,30.21967,30.04579,73.2546,76.402,0.536,5665,4.28,9.973604E-05
3823.843,9206.615,67.4265,67.29379,73.2546,76.402,1.063,4353,4.522,0.0007745459
3824.723,9206.615,21.11021,20.98943,73.2546,76.402,0.754,5047,4.59,0.0005067849
3826.485,9206.615,12.16148,12.06691,73.2546,76.402,0.983,4576,4.414,7.751619E-06
3823.843,9206.615,23.26596,23.30349,73.2546,76.402,0.754,5047,4.59,0.0002969721
3825.604,9206.615,39.62089,39.46341,73.2546,76.402,0,6500,4,0.0001777665
3824.723,9206.615,18.15326,17.9956,73.2546,76.402,0,6000,2,0.0007789754
3803.645,9210.856,32.45704,32.74862,81.9167,99.3065,0.811,5059,4.45,0.0001241149
3794.023,9200.258,17.62705,17.57162,28.9613,26.474,0,6000,2,0.000151507
3803.645,9210.856,10.09786,10.14503,81.9167,99.3065,0.754,5047,4.59,0.0002404043
3803.645,9210.856,92.66132,92.85137,81.9167,99.3065,0.983,4576,4.414,0.0002590988
3804.521,9210.856,141.9624,143.0875,81.9167,99.3065,0.871,4955,4.47,3.496998E-05
3806.274,9210.856,60.39344,60.50587,81.9167,99.3065,0,6000,2,0.0006685763
3803.645,9212.978,39.81701,40.2623,81.9167,99.3065,0.749,5239,4.5,0.0001841193
3804.521,9212.978,25.65363,25.76671,81.9167,99.3065,1.354,3962,4.5,4.349836E-06
3811.536,9212.978,24.13556,24.36995,82.5282,81.4314,0.811,5059,4.45,8.520542E-05
